Feature,ANCOVA_F,Group_Coefficient,Group_p,Model_R2,Model_Adj_R2,Group_p_FDR
verbs,4.632356365508868,-2.8467435168513116,0.02331758421880593,0.044844144983500756,0.03516351131779305,0.15464839742318212
verbs_rate,1.328995016829799,-0.005807597837011029,0.050369881695168775,0.013290526753413578,0.003290092902941466,0.2308153531305228
nouns,3.6561823974251126,-6.165681342304195,0.016947472047935376,0.035731827552368034,0.0259588393181015,0.15464839742318212
nouns_rate,3.0482399336519914,-0.009947309904231979,0.10325771311285617,0.029968468099074497,0.020137067437916545,0.28161194485324414
pronouns,2.7764672055575748,-0.4160861309460462,0.8097903995399746,0.02736969077724627,0.01751195115674542,0.9124893092119333
pronouns_rate,2.077539825827953,0.01242790572393286,0.016354759136630762,0.020621928527301714,0.01069579942453791,0.15464839742318212
adjectives,4.099097044978581,-0.7607706933098164,0.16654940809002453,0.039887769009145924,0.030156901803157554,0.3997326941181692
adjectives_rate,1.8785401825616541,-0.0012405293953111356,0.5935044713849944,0.018683537897322133,0.008737762943578864,0.7741362670239057
adverbs,4.464715477458268,-0.4443561747189027,0.38873609490989697,0.04329153148765985,0.03359516187435918,0.6442635636800639
adverbs_rate,4.379120772013881,0.00048745555286628436,0.8364485334442722,0.04249684417831989,0.03279242030174889,0.9124893092119333
interjections,1.0630362087941607,-0.2316162364814358,0.156760517651927,0.010659173527486021,0.000632070556480846,0.3997326941181692
interjections_rate,3.065858997310913,-0.0019317409781958983,0.16655528921590385,0.030136467931971334,0.020306769971822458,0.3997326941181692
determiners,2.9803640285747144,-2.4138312716542667,0.08434761272195311,0.029320719043042787,0.019482753357668248,0.2635069329601496
determiners_rate,0.1619220199649029,9.405930400215035e-05,0.9802877807007329,0.0016384127519855074,-0.00848011684850114,0.9802877807007329
conjunctions,2.0151286488154008,-0.16239082789301462,0.8333603713109168,0.02001482633976759,0.01008254417429233,0.9124893092119333
conjunctions_rate,3.107516732151826,0.005100510502969927,0.08509897346927975,0.030533447956782145,0.0207077734428307,0.2635069329601496
prepositions,3.8110738565794517,-1.809456196077,0.07558862227491087,0.037189284591173655,0.027431067880949067,0.2635069329601496
prepositions_rate,0.5396437164478532,-0.0020108435179099246,0.540872998324932,0.005439610790521909,-0.004640393154168754,0.7255025247974252
auxiliary_verbs,2.945427833466082,-0.5833059369829743,0.514453722620908,0.028986980811248175,0.019145632643794652,0.7255025247974252
auxiliary_verbs_rate,0.7536869599742306,0.0036258053131617415,0.2632522416175939,0.007580811498665518,-0.0024774910874965084,0.5132569015046329
particles,1.257365370939906,-0.4132388936870862,0.2737370141358042,0.012583212919857867,0.0025756103480997217,0.5132569015046329
particles_rate,1.7905800148614728,0.00034888040915008163,0.8869921955736869,0.017824299132326527,0.0078698156775866,0.9503487809718074
numbers,5.438794184432042,-0.3393586417904963,0.0991691722475059,0.05224312096568218,0.04263747692141551,0.28161194485324414
numbers_rate,1.631117735824151,-0.0011465951734228401,0.5119831462669423,0.016262749427031653,0.006292439455008347,0.7255025247974252
ocw,4.364459947499944,-10.217551727184226,0.02652091971921775,0.0423605961705541,0.03265479140201244,0.15464839742318212
ccw,3.3114307651649213,-6.369284135512318,0.26840372392188494,0.03247198024437048,0.02266595301711749,0.5132569015046329
content_density,1.8810036661282885,-0.04690178977263167,0.028352206194250055,0.0187075807913053,0.008762049515541603,0.15464839742318212
open_class_words_rate,2.6169588736197977,-0.01650798158368788,0.006176791013483475,0.025837926512404352,0.015964662254084216,0.15464839742318212
lexical_diversity,0.5710442628136568,0.0005124789335380422,0.9605313072007658,0.005754307082107668,-0.004322507373141216,0.9802877807007329
ttr,0.4797214146053935,0.01271758050047124,0.3002596570245216,0.004838516297862028,-0.005247579820740755,0.5459266491354938
brunets_index,6.4764031921198715,-2.2449774794042963,0.027247503952355055,0.06159610139610794,0.0520852510724199,0.15464839742318212
honore_statistic,1.9235940337683697,-651.1273240458082,0.08783564432004985,0.019123064403789303,0.009181744110584478,0.2635069329601496
hypernym_count,2.7394565711051615,-0.012409219540192029,0.8191990868315817,0.02701470565719022,0.01715336821452662,0.9124893092119333
lexical_sophistication,2.0745952998838604,0.001979924001179925,0.6564522403086505,0.02059330267842674,0.010666883448816278,0.8368866070344524
lexical_density,3.7506678819529244,-0.01236726028954658,0.006329679490343309,0.03662141666235619,0.026857444533934127,0.15464839742318212
function_word_count,3.783533016504375,-6.209724419411502,0.2076352894857912,0.036930460147515665,0.027169620216578316,0.4449327631838383
syntactic_complexity,1.972098686920496,0.01930192471256255,0.05385691573045532,0.01959581558847301,0.00965928669241023,0.2308153531305228
dependent_clauses_per_sentence,1.8611897871216587,-0.018547525379727217,0.669509285627562,0.018514169631949073,0.008566678107948644,0.8368866070344524
passive_voice_count,2.7601399885937297,-0.8684760746987972,0.014274560766346672,0.027213121260685758,0.017353794786976517,0.15464839742318212
