Feature,Importance_Gini,Importance_Score,Rank
content_density,0.03983299108563844,3.983299108563844,1
nouns_rate,0.03765153592504,3.7651535925040003,2
open_class_words_rate,0.032216424379662996,3.2216424379663,3
verbs_rate,0.031658020658506925,3.1658020658506922,4
polarity,0.027431884190897367,2.7431884190897367,5
auxiliary_verbs_rate,0.02733940045373812,2.733940045373812,6
lexical_density,0.02601535898376756,2.601535898376756,7
subjectivity,0.02567160098388723,2.5671600983887233,8
syntactic_complexity,0.025152792959869223,2.515279295986922,9
conjunctions_rate,0.024484209722705836,2.4484209722705836,10
lexical_sophistication,0.02333000101123313,2.333000101123313,11
dale_chall,0.022545944585946418,2.254594458594642,12
determiners_rate,0.022258053578606617,2.225805357860662,13
adjectives_rate,0.021538746182727518,2.1538746182727517,14
pronouns_rate,0.02104111171954652,2.104111171954652,15
personal_deixis_rate,0.019751983673424584,1.9751983673424585,16
gunning_fog,0.019497420310206733,1.9497420310206732,17
coleman_liau_index,0.01897684423839399,1.897684423839399,18
dependent_clauses_per_sentence,0.018791750860775072,1.8791750860775072,19
prepositions_rate,0.018680640818294115,1.8680640818294114,20
ref_r_real,0.018046174742536086,1.8046174742536087,21
brunets_index,0.01798375056957274,1.7983750569572738,22
automated_readability_index,0.017867391315431923,1.7867391315431924,23
std_sentence_length,0.017490120553930722,1.7490120553930721,24
spatial_deixis_rate,0.017195803732538133,1.7195803732538133,25
hypernym_count,0.0171803370600046,1.7180337060004598,26
flesch,0.01692374940613832,1.692374940613832,27
mean_sentence_length,0.01641657143232333,1.641657143232333,28
particles_rate,0.016012124259876935,1.6012124259876934,29
nouns,0.0159627013209662,1.5962701320966202,30
auxiliary_verbs,0.01569474881784267,1.569474881784267,31
cohesion_score,0.015385068914808897,1.5385068914808897,32
honore_statistic,0.015375959233620309,1.5375959233620309,33
verbs,0.015162769625682198,1.5162769625682198,34
reading_time,0.015147992114296247,1.5147992114296247,35
adverbs_rate,0.01469669666400916,1.4696696664009161,36
interjections_rate,0.014641991610230075,1.4641991610230074,37
lexical_diversity,0.014454643007784016,1.4454643007784016,38
particles,0.013876522216775095,1.3876522216775096,39
passive_voice_rate,0.013546724906858874,1.3546724906858874,40
ttr,0.013367035540835364,1.3367035540835364,41
numbers_rate,0.011568739357839676,1.1568739357839677,42
syllables,0.011411168584558746,1.1411168584558746,43
function_word_count,0.01131050111905908,1.131050111905908,44
ocw,0.011070240033675112,1.1070240033675112,45
present_tense_rate,0.010921834788763234,1.0921834788763234,46
pronouns,0.010858906031641713,1.0858906031641713,47
past_tense_rate,0.01045449158455661,1.0454491584556609,48
disfluencies,0.00997206297688774,0.9972062976887739,49
prepositions,0.009743284849969263,0.9743284849969263,50
determiners,0.009437431688409353,0.9437431688409353,51
ccw,0.009165395730521449,0.9165395730521448,52
conjunctions,0.008871581098018866,0.8871581098018866,53
adverbs,0.007302037808874193,0.7302037808874193,54
numbers,0.00671834234627508,0.671834234627508,55
interjections,0.00636554132153908,0.636554132153908,56
passive_voice_count,0.006001892922478857,0.6001892922478858,57
adjectives,0.00585072781165199,0.585072781165199,58
temporal_deixis_rate,0.004934784649652799,0.49347846496527986,59
future_tense_rate,0.001745441926696886,0.1745441926696886,60
