Feature,Cluster,Domain
coleman_liau_index,1,Readability & Lexical Diversity
content_density,1,Readability & Lexical Diversity
dale_chall,1,Readability & Lexical Diversity
interjections,1,Readability & Lexical Diversity
interjections_rate,1,Readability & Lexical Diversity
lexical_density,1,Readability & Lexical Diversity
lexical_sophistication,1,Readability & Lexical Diversity
open_class_words_rate,1,Readability & Lexical Diversity
polarity,1,Readability & Lexical Diversity
verbs_rate,1,Readability & Lexical Diversity
adjectives,2,Readability & Lexical Diversity
adjectives_rate,2,Readability & Lexical Diversity
adverbs,2,Readability & Lexical Diversity
adverbs_rate,2,Readability & Lexical Diversity
automated_readability_index,2,Readability & Lexical Diversity
auxiliary_verbs,2,Readability & Lexical Diversity
brunets_index,2,Readability & Lexical Diversity
ccw,2,Readability & Lexical Diversity
cohesion_score,2,Readability & Lexical Diversity
conjunctions,2,Readability & Lexical Diversity
dependent_clauses_per_sentence,2,Readability & Lexical Diversity
determiners,2,Readability & Lexical Diversity
disfluencies,2,Readability & Lexical Diversity
function_word_count,2,Readability & Lexical Diversity
future_tense_rate,2,Readability & Lexical Diversity
gunning_fog,2,Readability & Lexical Diversity
honore_statistic,2,Readability & Lexical Diversity
mean_sentence_length,2,Readability & Lexical Diversity
nouns,2,Readability & Lexical Diversity
ocw,2,Readability & Lexical Diversity
particles,2,Readability & Lexical Diversity
passive_voice_count,2,Readability & Lexical Diversity
passive_voice_rate,2,Readability & Lexical Diversity
past_tense_rate,2,Readability & Lexical Diversity
prepositions,2,Readability & Lexical Diversity
prepositions_rate,2,Readability & Lexical Diversity
pronouns,2,Readability & Lexical Diversity
reading_time,2,Readability & Lexical Diversity
spatial_deixis_rate,2,Readability & Lexical Diversity
std_sentence_length,2,Readability & Lexical Diversity
subjectivity,2,Readability & Lexical Diversity
syllables,2,Readability & Lexical Diversity
temporal_deixis_rate,2,Readability & Lexical Diversity
verbs,2,Readability & Lexical Diversity
auxiliary_verbs_rate,3,Readability & Lexical Diversity
conjunctions_rate,3,Readability & Lexical Diversity
flesch,3,Readability & Lexical Diversity
personal_deixis_rate,3,Readability & Lexical Diversity
pronouns_rate,3,Readability & Lexical Diversity
syntactic_complexity,3,Readability & Lexical Diversity
determiners_rate,4,Readability & Lexical Diversity
hypernym_count,4,Readability & Lexical Diversity
lexical_diversity,4,Readability & Lexical Diversity
nouns_rate,4,Readability & Lexical Diversity
numbers,4,Readability & Lexical Diversity
numbers_rate,4,Readability & Lexical Diversity
particles_rate,4,Readability & Lexical Diversity
present_tense_rate,4,Readability & Lexical Diversity
ref_r_real,4,Readability & Lexical Diversity
ttr,4,Readability & Lexical Diversity
