Feature,Cognitive_Score,N,Pearson_r,Pearson_p,R_Squared,Spearman_rho,Spearman_p,Slope_B,Intercept,Std_Error,Pearson_p_FDR
verbs,MoCA,293,0.18066228656160846,0.0019040232121200593,0.03263886178566873,0.1877860665713586,0.0012404314052146322,0.051840682097367544,25.027983955715207,0.016544400254334554,0.02142539709109475
verbs_rate,MoCA,293,0.06905126264706314,0.23866837314810355,0.004768076873153697,0.050685632708829004,0.38734325877037384,8.620365855057141,24.784398942293386,7.300787841876756,0.39778062191350594
nouns,MoCA,293,0.19757428390036572,0.0006712589441197778,0.03903559765874231,0.18356573051540298,0.0016018796099713573,0.027659401353679235,25.043457889262644,0.008044878978182575,0.014090240522070141
nouns_rate,MoCA,293,0.029028729176517047,0.6206904110381349,0.0008426671176035721,0.14933321547656045,0.010478835353662504,1.7196228046438715,25.516239888920396,3.4711678741898666,0.7496895371776564
pronouns,MoCA,293,0.08157629417820886,0.16370613371868076,0.006654691771849673,0.06985683225149592,0.2332213270104106,0.01702283024371929,25.590396461928126,0.01219190089580101,0.3069490007225264
pronouns_rate,MoCA,293,-0.11822147250074401,0.04316893905231777,0.013976316560244171,-0.1578992285403735,0.006763783297429802,-8.38897948579623,27.151244350271842,4.130569622128048,0.10792234763079442
adjectives,MoCA,293,0.14319658798798207,0.0141548593348837,0.02050526281139989,0.11721020075889509,0.045000037215133036,0.09343498603957053,25.503720278409048,0.037855711573726226,0.05504376924403045
adjectives_rate,MoCA,293,0.04058077452041485,0.48897074937702617,0.001646799260676751,0.024484541097582007,0.6764012910609749,6.3305348988002645,25.735603887861693,9.137253804791257,0.6468005414259854
adverbs,MoCA,293,0.10605076821940367,0.06988551871606949,0.011246765439925678,0.08481501255955702,0.14756001763188398,0.07383008243294069,25.592538160232777,0.04058046307729842,0.15530115270237663
adverbs_rate,MoCA,293,0.024777249668706668,0.672754890577554,0.0006139121011454247,-0.0030976723518821403,0.95789358734753,3.7814681618650234,25.817008619885716,8.943911771696552,0.7762556429741008
interjections,MoCA,293,0.03068199265369986,0.6009260290234195,0.0009413846732016922,0.015000730258185595,0.7981918135357926,0.06906205097864015,25.839940110361145,0.13188788391667594,0.7496895371776564
interjections_rate,MoCA,293,-0.030428218579152417,0.6039414197705626,0.0009258764859006763,-0.05075839328196662,0.3866613145018827,-7.872124620064845,26.02294564460762,15.15890370367321,0.7496895371776564
determiners,MoCA,293,0.16741829813841125,0.004055656492698371,0.028028886551561955,0.15540244687833063,0.0077011353303079386,0.043320622691052725,25.218471461706095,0.01495450189887885,0.027037709951322476
determiners_rate,MoCA,293,-0.001999214645118412,0.9728175076811498,3.996859197255938e-06,0.05617689775172345,0.3379417089617406,-0.1930067252963316,25.957832429001634,5.6593382950121365,0.9839809707037681
conjunctions,MoCA,293,0.14244038559980018,0.014678338465074785,0.020289263449819763,0.13387561608824883,0.02189911376809461,0.06682274911266092,25.365431182390086,0.027220345749890355,0.05504376924403045
conjunctions_rate,MoCA,293,0.010637283962644847,0.8561260022857244,0.00011315181010194125,0.020873910580842293,0.7219789394166394,1.3106770968849095,25.852887608850992,7.222605447877781,0.9011852655639205
prepositions,MoCA,293,0.1562556827649516,0.007368532861884767,0.024415838396341195,0.1510785069774361,0.00960107078831107,0.055369887691557255,25.25882352941176,0.02051746483477268,0.04019199742846237
prepositions_rate,MoCA,293,0.048564268701176416,0.4075449206694599,0.0023584881944800633,0.03715220751246564,0.5264439499678447,5.435562442871417,25.446373792850395,6.553425961510455,0.5686673311666882
auxiliary_verbs,MoCA,293,0.12347722396397329,0.03463108317344328,0.015246624837849219,0.10972435895661473,0.06068034032674737,0.04967732008138304,25.37895580020731,0.023403916856499632,0.0966596825946277
auxiliary_verbs_rate,MoCA,293,0.0011780175824610255,0.9839809707037681,1.387725424587319e-06,-0.0709356588016351,0.22606481873385115,0.1332092149833829,25.92312297255191,6.628811976090488,0.9839809707037681
particles,MoCA,293,0.10085684715836078,0.08481468070468819,0.010172103618724948,0.11085400688857731,0.058059423683465936,0.09728122137729543,25.52218865869641,0.05625446218847958,0.18174574436718896
particles_rate,MoCA,293,-0.019983277879289614,0.7333817879114433,0.0003993313948009056,-0.04054853014025916,0.48931638518572773,-2.960388371447473,26.034352099741504,8.68257886088576,0.814868653234937
numbers,MoCA,293,0.12293359609975821,0.035441883618030155,0.015112669050018486,0.07221472151928712,0.21778375984965748,0.2137901383792496,25.58763466551921,0.10117282189196247,0.0966596825946277
numbers_rate,MoCA,293,-0.01187442409268651,0.8396073975657362,0.00014100194753297382,-0.0023735902217790366,0.967729822456669,-2.472337199287482,25.967725101006575,12.204444954750516,0.8995793545347174
ocw,MoCA,293,0.18852514548465135,0.0011854461199315898,0.03554173048000896,0.1814586198299846,0.001816352985473695,0.014731172265278293,25.0662399820461,0.0044984536457057505,0.017781691798973848
ccw,MoCA,293,0.14250068883643013,0.014635979460241382,0.020306446318857085,0.13232971431868149,0.023487604525575554,0.00891289595992693,25.258363652865583,0.0036291131085892567,0.05504376924403045
content_density,MoCA,293,0.06537475059424672,0.26465948450288396,0.004273858015259961,0.1607155048428175,0.0058300074312459494,1.1149565709503224,25.045480650475067,0.9976342865489397,0.422369376504173
open_class_words_rate,MoCA,293,0.08863394136835621,0.13011110434365397,0.007855975562489207,0.1607155048428175,0.0058300074312459494,5.360130749208567,23.582074546305368,3.5311501727915275,0.2691953882972151
lexical_diversity,MoCA,293,-0.04301011922533552,0.4633101842763745,0.0018498703557775762,-0.02880022251412793,0.6234441551416414,-1.5206238798816136,26.628916929893506,2.070630463752536,0.6317866149223289
ttr,MoCA,293,-0.06498823325910236,0.26750060511930956,0.004223470462139498,-0.056616310627688356,0.3341705990938908,-1.9486729561689002,27.54495954145893,1.754036699460453,0.422369376504173
brunets_index,MoCA,293,0.20667271925374173,0.0003693502727625333,0.042713612883735944,0.2021534785028583,0.0004985549950948154,0.07233413482169794,24.41108002582765,0.02007403073412337,0.014090240522070141
honore_statistic,MoCA,293,0.13904680711468248,0.01724210944853295,0.019334014568787715,0.13397544532092723,0.02179980943855837,0.0001328381710042514,25.571572099233308,5.545949722164989e-05,0.060854503935998644
hypernym_count,MoCA,293,-0.00910510585436933,0.8766705005809007,8.290295261927063e-05,-0.02569696964348156,0.6613475876815771,-0.060746929669240765,26.259787316022294,0.39108831093382346,0.9069005178423111
lexical_sophistication,MoCA,293,-0.016408297058802944,0.7797206856237193,0.00026923221236992134,-0.056122767825879674,0.3384081345679496,-1.3612858874761715,27.16115387296209,4.862737955376075,0.8506043843167848
lexical_density,MoCA,293,0.10800645225879445,0.06485239630740772,0.011665393729531244,0.13689202456340235,0.019065697437522424,8.617911145559896,22.924066205225405,4.650052089597107,0.1496593760940178
function_word_count,MoCA,293,0.15058591826687584,0.00984195205641943,0.022676118780278212,0.1403568639566516,0.016209438428587578,0.010977387963945894,25.244033555138092,0.004224617685289536,0.04920976028209714
syntactic_complexity,MoCA,293,-0.0781087451097643,0.18242384969999476,0.006100976062622129,-0.07914748892299374,0.1766582650111955,-2.882909591782431,28.21376984610089,2.1570290802941,0.32192444064704956
dependent_clauses_per_sentence,MoCA,293,0.05468725498402515,0.3509274710741201,0.002990695857687784,0.045187110879693106,0.4409641484960705,0.4584734073487385,25.607697715660525,0.49071703779106374,0.5263912066111802
passive_voice_count,MoCA,293,0.19682029929676392,0.0007045120261035071,0.03873823021526773,0.21722304193908049,0.00017881504522453362,0.20216140719639342,25.553358962303285,0.05903406712286105,0.014090240522070141
passive_voice_rate,MoCA,293,0.17639906879663167,0.0024426509942979133,0.031116631472318794,0.21523462106506325,0.0002055677004938423,32.42281392555721,25.589770609629344,10.605805827604238,0.02142539709109475
ref_r_real,MoCA,293,-0.039938465849841225,0.49588041509325553,0.0015950810544389338,0.04800345096914928,0.4129881905246966,-0.2012631715161403,26.316402257889898,0.2951751517593696,0.6468005414259854
mean_sentence_length,MoCA,293,0.11233669538165125,0.05476211953429199,0.012619533129269906,0.13840515474633047,0.017768522532630726,0.14325596800165816,24.466274485410743,0.07428255800668622,0.13142908688230076
std_sentence_length,MoCA,293,0.08510330780477705,0.14618364690156446,0.007242572999314627,0.1400116974019618,0.0164761349237414,0.09951591600106903,25.325894448869946,0.06830007524457411,0.28293609077722154
syllables,MoCA,293,0.17489885065755145,0.0026629946795308453,0.030589607961332487,0.16619031484598934,0.004338745296920392,0.005628108746874547,25.09006408746886,0.001857303451551274,0.02142539709109475
reading_time,MoCA,293,0.1736703780059172,0.0028567196121459665,0.030161400196718167,0.1669230308127378,0.004167760799305203,0.11012757312337307,25.109213222861587,0.03660779386556661,0.02142539709109475
dale_chall,MoCA,293,0.06084666575244673,0.2992527717993082,0.0037023167331899738,0.07098853634640119,0.2257181031788642,0.2565405468961329,24.16142889580491,0.24669894770724435,0.46038887969124337
