Feature,ANOVA_F,ANOVA_p,Partial_Eta_Sq,Kruskal_H,Kruskal_p,Epsilon_Sq,Cohen_d,Mean_Control,Mean_MCI,SD_Control,SD_MCI,ANOVA_p_FDR,ANOVA_p_Bonferroni
verbs,4.184162595892378,0.041681206022106766,0.01384639936106713,4.452122902585928,0.034857888411654034,0.011584305042234658,0.24760131595253415,18.45128205128205,15.904761904761905,10.886075277427132,9.05700303794274,0.23838349116749158,1.0
verbs_rate,3.9567536726653976,0.0475977205969596,0.013103709801287333,4.142137904574992,0.04182831021082183,0.010544086928104,0.24077876315469846,0.13590656714822208,0.1301364849946306,0.02272969529910887,0.026111635045420842,0.23838349116749158,1.0
nouns,4.778368219546139,0.02959738256161784,0.015781735820972906,3.580569001039568,0.058459124298435416,0.008659627520267008,0.26459917075741396,34.16410256410256,28.6,22.880319359878808,17.04439903491873,0.22198036921213382,1.0
nouns_rate,3.400714683987735,0.06616071407486829,0.011283034572606612,8.303058425017465,0.003957837097090449,0.02450690746650156,0.22322034265969187,0.24674045730118724,0.23562061352732563,0.043857074299418014,0.05935272207723512,0.2835459174637212,1.0
pronouns,0.0027943613574145845,0.9578775036078682,9.376963606677156e-06,0.00032941785216236263,0.9855192924209079,-0.003354599268952475,-0.0063986735775363205,20.194871794871794,20.285714285714285,13.978738433962064,14.595648907567181,0.9779634746971538,1.0
pronouns_rate,6.180998306387181,0.013460706390553355,0.020320132884044637,6.245947398011658,0.012447778162691926,0.017603850328898184,-0.30093866110764533,0.14107513654179019,0.1536334267232935,0.042443917595556595,0.04036571734365203,0.20191059585830032,0.8076423834332013
adjectives,1.0089683364399051,0.3159650409917919,0.0033743748291343214,0.7574015755477106,0.38414291817631185,-0.0008140886726586893,0.12158708339678324,4.779487179487179,4.228571428571429,4.70441662888543,4.188484999782928,0.5744818927123488,1.0
adjectives_rate,0.11567847549609749,0.7340092482596826,0.0003880321762600791,0.03958321130284223,0.8422977111277844,-0.003222875129856234,0.041169439125296914,0.031528722692110114,0.030746696034605156,0.018472386460852426,0.019934162963296455,0.880811097911619,1.0
adverbs,0.2537972835805163,0.6147861114723344,0.0008509440144334688,0.11912840959194351,0.7299817287402881,-0.002955944934255223,0.06098066511332292,4.707692307692308,4.447619047619048,4.34844353096034,4.10436201446553,0.8578410857753503,1.0
adverbs_rate,0.26787727552312857,0.6051432627490798,0.0008981097058456656,0.2763789665786171,0.5990844521869242,-0.0024282585014140366,-0.06264935567032341,0.0305471364133231,0.03177108491212571,0.01928458631396101,0.019997908338591306,0.8578410857753503,1.0
